field,size,desc,columns
"HRHHID","15","HOUSEHOLD IDENTIFIER (Part 1)","1-15"
"HRMONTH","2","MONTH OF INTERVIEW","16-17"
"HRYEAR4","4","YEAR OF INTERVIEW","18-21"
"HURESPLI","2","LINE NUMBER OF THE CURRENT RESPONDENT","22-23"
"HUFINAL","3","FINAL OUTCOME CODE","24-26"
"FILLER","2","FILLER","7-28"
"HETENURE","2","ARE YOUR LIVING QUARTERS... (READ ANSWER CATEGORIES)","29-30"
"HEHOUSUT","2","TYPE OF HOUSING UNIT","31-32"
"HETELHHD","2","IS THERE A TELEPHONE IN THIS HOUSE/APARTMENT?","33-34"
"HETELAVL","2","IS THERE A TELEPHONE ELSEWHERE ON WHICH PEOPLE IN THIS HOUSEHOLD CAN BE CONTACTED?","35-36"
"HEPHONEO","2","IS A TELEPHONE INTERVIEW ACCEPTABLE?","37-38"
"HEFAMINC","2","FAMILY INCOME (COMBINED INCOME OF ALL FAMILY MEMBERS DURING THE LAST 12 MONTHS. INCLUDES MONEY FROM JOBS, NET INCOME FROM BUSINESS, FARM OR RENT, PENSIONS, DIVIDENDS, INTEREST, SOCIAL SECURITY PAYMENTS AND ANY OTHER MONEY INCOME RECEIVED BY FAMILY MEMBERS WHO ARE 15 YEARS OF AGE OR OLDER.)","39-40"
"HUTYPEA","2","TYPE A NONINTERVIEW REASON","41-42"
"HUTYPB","2","TYPE B NON-INTERVIEW REASON","43-44"
"HUTYPC","2","TYPE C NON-INTERVIEW REASON","45-46"
"HWHHWGT","10","HOUSEHOLD WEIGHT (4 IMPLIED DECIMAL PLACES) USED FOR TALLYING HOUSEHOLD CHARACTERISTICS","47-56"
"HRINTSTA","2","INTERVIEW STATUS","57-58"
"HRNUMHOU","2","TOTAL NUMBER OF PERSONS LIVING IN THE HOUSEHOLD (HOUSEHOLD MEMBERS).","59-60"
"HRHTYPE","2","HOUSEHOLD TYPE","61-62"
"HRMIS","2","MONTH-IN-SAMPLE EDITED UNIVERSE: ALL HHLDs IN SAMPLE","63-64"
"HUINTTYP","2","TYPE OF INTERVIEW","65-66"
"HUPRSCNT","2","NUMBER OF ACTUAL AND ATTEMPTED PERSONAL CONTACTS","67-68"
"HRLONGLK","2","LONGITUDINAL LINK INDICATOR EDITED UNIVERSE: ALL HHLDs IN SAMPLE","69-70"
"HRHHID2","5","HOUSEHOLD IDENTIFIER (part 2)","71-75"
"HWHHWTLN","2","Line Number (PULINENO) of the person whose PWSSWGT was donated as HWHHWGT for the household","76-77"
"FILLER","1","FILLER","8-78"
"HUBUS","2","DOES ANYONE IN THIS HOUSEHOLD HAVE A BUSINESS OR A FARM?","79-80"
"HUBUSL1","2","ENTER LINE NUMBER FOR HUBUS = 1","81-82"
"HUBUSL2","2","See BUSL1","83-84"
"HUBUSL3","2","See BUSL1","85-86"
"HUBUSL4","2","See BUSL1","87-88"
"GEREG","2","REGION","89-90"
"GEDIV","1","DIVISION","91-91"
"FILLER","1","FILLER","2-92"
"GESTFIPS","2","FEDERAL INFORMATION PROCESSING STANDARDS (FIPS) STATE CODE","93-94"
"FILLER","1","FILLER","5-95"
