Field: PERRP
Size: 2
Description: RELATIONSHIP TO REFERENCE PERSON
Columns: 118-119
Content:


EDITED UNIVERSE:	PRPERTYP = 1, 2, OR 3


VALID ENTRIES

EXPANDED RELATIONSHIP CATEGORIES
40	REFERENCE PERSON W/RELS.
41	REFERENCE PERSON W/O RELS.
42	OPPOSITE SEX SPOUSE
43	OPPOSITE SEX PARTNER WITH RELATIVES
44 	OPPOSITE SEC PARTNER WITHOUT RELATIVES
45	SAME SEX SPOUSE
46	SAME SEX PARTNER WITH RELATIVES
47 	SAME SEX PARTNER WITHOUT RELATIVES
48	CHILD
49	GRANDCHILD
50	PARENT
51	BROTHER/SISTER
52	OTHER REL. OR REF. PERSON
53	FOSTER CHILD
54	HOUSEMATE/ROOMMATE W/RELS.
55	HOUSEMATE/ROOMMATEW/O RELS.
56	ROOMER/BOARDER W/RELS.
57	ROOMER/BOARDER W/OUT RELS.
58	NONRELATIVE OF REFERENCE PERSON W/RELS.
59	NONRELATIVE OF REFERENCE PERSON W/OUT RELS.

