Field: PRMJOCC1
Size: 2
Description: MAJOR OCCUPATION RECODE - JOB 1
Columns: 486-487
Content:

EDITED UNIVERSE:	PRDTOCC1 = 1-23

VALID ENTRIES

1	Management, business, and financial occupations
2	Professional and related occupations
3	Service occupations
4	Sales and related occupations
5	Office and administrative support occupations
6	Farming, fishing, and forestry occupations
7	Construction and extraction occupations
8	Installation, maintenance, and repair occupations
9	Production occupations
10	Transportation and material moving occupations
11	Armed Forces


